Category,Website Name,Main URL,Main Sitemap URL,Sub-sitemap URLs
Major Recipe Sites,Allrecipes,https://www.allrecipes.com,https://www.allrecipes.com/sitemap.xml,https://www.allrecipes.com/sitemap_1.xml; https://www.allrecipes.com/sitemap_2.xml; https://www.allrecipes.com/sitemap_3.xml; https://www.allrecipes.com/sitemap_4.xml
Major Recipe Sites,Food Network,https://www.foodnetwork.com,https://www.foodnetwork.com/sitemaps/sitemap_food_index.xml,https://www.foodnetwork.com/sitemaps/sitemap_food_index.xml; https://www.foodnetwork.com/sitemaps/sitemap_food_1.xml.gz; https://www.foodnetwork.com/sitemaps/sitemap_food_2.xml.gz
Major Recipe Sites,Simply Recipes,https://www.simplyrecipes.com,https://www.simplyrecipes.com/sitemap.xml,https://www.simplyrecipes.com/google-news-sitemap.xml; https://www.simplyrecipes.com/recipes-sitemap.xml; https://www.simplyrecipes.com/post-sitemap.xml
Major Recipe Sites,Epicurious,https://www.epicurious.com,https://www.epicurious.com/sitemap.xml,https://www.epicurious.com/categories-sitemap.xml; https://www.epicurious.com/bundles-sitemap.xml; https://www.epicurious.com/branded-sitemap.xml; https://www.epicurious.com/contributors-sitemap.xml; https://www.epicurious.com/sitemap-archive-1.xml
Major Recipe Sites,Serious Eats,https://www.seriouseats.com,https://www.seriouseats.com/sitemap.xml,https://www.seriouseats.com/recipe-sitemap.xml; https://www.seriouseats.com/post-sitemap.xml; https://www.seriouseats.com/page-sitemap.xml
Major Recipe Sites,The Kitchn,https://www.thekitchn.com,https://www.thekitchn.com/sitemap.xml,https://www.thekitchn.com/stories/sitemap.xml; https://www.thekitchn.com/sitemap.googlenews.xml
Major Recipe Sites,Food52,https://food52.com,https://food52.com/sitemap.xml,https://food52.com/recipes-sitemap.xml; https://food52.com/articles-sitemap.xml; https://food52.com/collections-sitemap.xml
Major Recipe Sites,Taste of Home,https://www.tasteofhome.com,https://www.tasteofhome.com/sitemap_index.xml,https://www.tasteofhome.com/recipe-sitemap1.xml; https://www.tasteofhome.com/recipe-sitemap2.xml; https://www.tasteofhome.com/recipe-sitemap3.xml
Major Recipe Sites,BBC Good Food,https://www.bbcgoodfood.com,https://www.bbcgoodfood.com/sitemap.xml,https://www.bbcgoodfood.com/google-news.xml
Popular Food Blogs,Pinch of Yum,https://pinchofyum.com,https://pinchofyum.com/sitemap.xml,https://pinchofyum.com/post-sitemap.xml; https://pinchofyum.com/page-sitemap.xml; https://pinchofyum.com/recipe-sitemap.xml
Popular Food Blogs,Smitten Kitchen,https://smittenkitchen.com,https://smittenkitchen.com/sitemap.xml,https://smittenkitchen.com/post-sitemap.xml; https://smittenkitchen.com/recipe-sitemap.xml; https://smittenkitchen.com/category-sitemap.xml
Popular Food Blogs,Budget Bytes,https://www.budgetbytes.com,https://www.budgetbytes.com/sitemap.xml,https://www.budgetbytes.com/recipe-sitemap.xml; https://www.budgetbytes.com/post-sitemap.xml; https://www.budgetbytes.com/category-sitemap.xml
Popular Food Blogs,Minimalist Baker,https://minimalistbaker.com,https://minimalistbaker.com/sitemap.xml,https://minimalistbaker.com/recipe-sitemap.xml; https://minimalistbaker.com/post-sitemap.xml; https://minimalistbaker.com/category-sitemap.xml
Popular Food Blogs,Love and Lemons,https://www.loveandlemons.com,https://www.loveandlemons.com/sitemap.xml,https://www.loveandlemons.com/recipe-sitemap.xml; https://www.loveandlemons.com/post-sitemap.xml; https://www.loveandlemons.com/category-sitemap.xml
Popular Food Blogs,The Pioneer Woman,https://thepioneerwoman.com,https://thepioneerwoman.com/sitemap_index.xml,https://thepioneerwoman.com/recipe-sitemap.xml; https://thepioneerwoman.com/post-sitemap.xml; https://thepioneerwoman.com/food-sitemap.xml
Popular Food Blogs,Damn Delicious,https://damndelicious.net,https://damndelicious.net/recipes/,https://damndelicious.net/recipes/; https://damndelicious.net/category/recipes/
Popular Food Blogs,Gimme Some Oven,https://www.gimmesomeoven.com,https://www.gimmesomeoven.com/sitemap.xml,https://www.gimmesomeoven.com/recipe-sitemap.xml; https://www.gimmesomeoven.com/post-sitemap.xml; https://www.gimmesomeoven.com/category-sitemap.xml
Popular Food Blogs,Skinnytaste,https://www.skinnytaste.com,https://www.skinnytaste.com/sitemap.xml,https://www.skinnytaste.com/recipe-sitemap.xml; https://www.skinnytaste.com/post-sitemap.xml; https://www.skinnytaste.com/category-sitemap.xml
Popular Food Blogs,Cookie and Kate,https://cookieandkate.com,https://cookieandkate.com/sitemap.xml,https://cookieandkate.com/recipe-sitemap.xml; https://cookieandkate.com/post-sitemap.xml; https://cookieandkate.com/category-sitemap.xml
Baking & Dessert Sites,Sally's Baking Addiction,https://sallysbakingaddiction.com,https://sallysbakingaddiction.com/sitemap.xml,https://sallysbakingaddiction.com/recipe-sitemap.xml; https://sallysbakingaddiction.com/post-sitemap.xml; https://sallysbakingaddiction.com/category-sitemap.xml
Baking & Dessert Sites,King Arthur Baking,https://www.kingarthurbaking.com,https://www.kingarthurbaking.com/sitemap.xml,https://www.kingarthurbaking.com/recipes-sitemap.xml; https://www.kingarthurbaking.com/learn-sitemap.xml; https://www.kingarthurbaking.com/blog-sitemap.xml
Baking & Dessert Sites,Joy the Baker,https://joythebaker.com,https://joythebaker.com/sitemap.xml,https://joythebaker.com/recipe-sitemap.xml; https://joythebaker.com/post-sitemap.xml; https://joythebaker.com/category-sitemap.xml
Baking & Dessert Sites,Brown Eyed Baker,https://www.browneyedbaker.com,https://www.browneyedbaker.com/sitemap.xml,https://www.browneyedbaker.com/recipe-sitemap.xml; https://www.browneyedbaker.com/post-sitemap.xml; https://www.browneyedbaker.com/category-sitemap.xml
Baking & Dessert Sites,Preppy Kitchen,https://preppykitchen.com,https://preppykitchen.com/sitemap.xml,https://preppykitchen.com/recipe-sitemap.xml; https://preppykitchen.com/post-sitemap.xml; https://preppykitchen.com/category-sitemap.xml
Baking & Dessert Sites,Sugar Spun Run,https://sugarspunrun.com,https://sugarspunrun.com/sitemap.xml,https://sugarspunrun.com/recipe-sitemap.xml; https://sugarspunrun.com/post-sitemap.xml; https://sugarspunrun.com/category-sitemap.xml
Baking & Dessert Sites,Cloudy Kitchen,https://cloudykitchen.com,https://cloudykitchen.com/sitemap.xml,https://cloudykitchen.com/recipe-sitemap.xml; https://cloudykitchen.com/post-sitemap.xml; https://cloudykitchen.com/category-sitemap.xml
Baking & Dessert Sites,Always Eat Dessert,https://alwayseatdessert.com,https://alwayseatdessert.com/sitemap.xml,https://alwayseatdessert.com/recipe-sitemap.xml; https://alwayseatdessert.com/post-sitemap.xml; https://alwayseatdessert.com/category-sitemap.xml
Baking & Dessert Sites,Hummingbird High,https://www.hummingbirdhigh.com,https://www.hummingbirdhigh.com/sitemap.xml,https://www.hummingbirdhigh.com/recipe-sitemap.xml; https://www.hummingbirdhigh.com/post-sitemap.xml; https://www.hummingbirdhigh.com/category-sitemap.xml
Baking & Dessert Sites,The Cake Blog,https://thecakeblog.com,https://thecakeblog.com/sitemap.xml,https://thecakeblog.com/recipe-sitemap.xml; https://thecakeblog.com/post-sitemap.xml; https://thecakeblog.com/category-sitemap.xml
Asian & International Cuisine,The Woks of Life,https://thewoksoflife.com,https://thewoksoflife.com/sitemap.xml,https://thewoksoflife.com/recipe-sitemap.xml; https://thewoksoflife.com/post-sitemap.xml; https://thewoksoflife.com/category-sitemap.xml
Asian & International Cuisine,Just One Cookbook,https://www.justonecookbook.com,https://www.justonecookbook.com/sitemap.xml,https://www.justonecookbook.com/recipe-sitemap.xml; https://www.justonecookbook.com/post-sitemap.xml; https://www.justonecookbook.com/category-sitemap.xml
Asian & International Cuisine,Omnivore's Cookbook,https://omnivorescookbook.com,https://omnivorescookbook.com/recipe-sitemap.xml,https://omnivorescookbook.com/post-sitemap.xml; https://omnivorescookbook.com/category-sitemap.xml
Asian & International Cuisine,Christie at Home,https://christieathome.com,https://christieathome.com/sitemap.xml,https://christieathome.com/recipe-sitemap.xml; https://christieathome.com/post-sitemap.xml; https://christieathome.com/category-sitemap.xml
Asian & International Cuisine,Hot Thai Kitchen,https://hot-thai-kitchen.com,https://hot-thai-kitchen.com/sitemap.xml,https://hot-thai-kitchen.com/recipe-sitemap.xml; https://hot-thai-kitchen.com/post-sitemap.xml; https://hot-thai-kitchen.com/category-sitemap.xml
Asian & International Cuisine,Maangchi,https://www.maangchi.com,https://www.maangchi.com/recipes,https://www.maangchi.com/recipes; https://www.maangchi.com/recipe
Asian & International Cuisine,Recipe Tin Eats,https://www.recipetineats.com,https://www.recipetineats.com/sitemap.xml,https://www.recipetineats.com/recipe-sitemap.xml; https://www.recipetineats.com/post-sitemap.xml; https://www.recipetineats.com/category-sitemap.xml
Asian & International Cuisine,Asian Cooking Mom,https://www.asiancookingmom.com,https://www.asiancookingmom.com/sitemap.xml,https://www.asiancookingmom.com/recipe-sitemap.xml; https://www.asiancookingmom.com/post-sitemap.xml; https://www.asiancookingmom.com/category-sitemap.xml
Asian & International Cuisine,Eat Cho Food,https://eatchofood.com,https://eatchofood.com/sitemap.xml,https://eatchofood.com/recipe-sitemap.xml; https://eatchofood.com/post-sitemap.xml; https://eatchofood.com/category-sitemap.xml
Asian & International Cuisine,Taste of Asian Food,https://tasteasianfood.com,https://tasteasianfood.com/sitemap.xml,https://tasteasianfood.com/recipe-sitemap.xml; https://tasteasianfood.com/post-sitemap.xml; https://tasteasianfood.com/category-sitemap.xml
Indian Cuisine Sites,Ministry of Curry,https://ministryofcurry.com,https://ministryofcurry.com/sitemap.xml,https://ministryofcurry.com/recipe-sitemap.xml; https://ministryofcurry.com/post-sitemap.xml; https://ministryofcurry.com/category-sitemap.xml
Indian Cuisine Sites,My Heart Beets,https://myheartbeets.com,https://myheartbeets.com/sitemap.xml,https://myheartbeets.com/recipe-sitemap.xml; https://myheartbeets.com/post-sitemap.xml; https://myheartbeets.com/category-sitemap.xml
Indian Cuisine Sites,Veg Recipes of India,https://www.vegrecipesofindia.com,https://www.vegrecipesofindia.com/sitemap.xml,https://www.vegrecipesofindia.com/recipe-sitemap.xml; https://www.vegrecipesofindia.com/post-sitemap.xml; https://www.vegrecipesofindia.com/category-sitemap.xml
Indian Cuisine Sites,Archana's Kitchen,https://www.archanaskitchen.com,https://www.archanaskitchen.com/sitemap.xml,https://www.archanaskitchen.com/recipe-sitemap.xml; https://www.archanaskitchen.com/post-sitemap.xml; https://www.archanaskitchen.com/category-sitemap.xml
Indian Cuisine Sites,Cook With Manali,https://www.cookwithmanali.com,https://www.cookwithmanali.com/sitemap.xml,https://www.cookwithmanali.com/recipe-sitemap.xml; https://www.cookwithmanali.com/post-sitemap.xml; https://www.cookwithmanali.com/category-sitemap.xml
Indian Cuisine Sites,My Food Story,https://myfoodstory.com,https://myfoodstory.com/sitemap.xml,https://myfoodstory.com/recipe-sitemap.xml; https://myfoodstory.com/post-sitemap.xml; https://myfoodstory.com/category-sitemap.xml
Indian Cuisine Sites,Sailu's Kitchen,https://www.sailusfood.com,https://www.sailusfood.com/recipes/,https://www.sailusfood.com/recipes/; https://www.sailusfood.com/category/recipes/
Indian Cuisine Sites,Hebbar's Kitchen,https://hebbarskitchen.com,https://hebbarskitchen.com/sitemap.xml,https://hebbarskitchen.com/recipe-sitemap.xml; https://hebbarskitchen.com/post-sitemap.xml; https://hebbarskitchen.com/category-sitemap.xml
Indian Cuisine Sites,Piping Pot Curry,https://pipingpotcurry.com,https://pipingpotcurry.com/sitemap.xml,https://pipingpotcurry.com/recipe-sitemap.xml; https://pipingpotcurry.com/post-sitemap.xml; https://pipingpotcurry.com/category-sitemap.xml
Indian Cuisine Sites,Tea for Turmeric,https://www.teaforturmeric.com,https://www.teaforturmeric.com/sitemap.xml,https://www.teaforturmeric.com/recipe-sitemap.xml; https://www.teaforturmeric.com/post-sitemap.xml; https://www.teaforturmeric.com/category-sitemap.xml
Mediterranean & Middle Eastern,The Mediterranean Dish,https://www.themediterraneandish.com,https://www.themediterraneandish.com/sitemap.xml,https://www.themediterraneandish.com/recipe-sitemap.xml; https://www.themediterraneandish.com/post-sitemap.xml; https://www.themediterraneandish.com/category-sitemap.xml
Mediterranean & Middle Eastern,Mediterranean Living,https://www.mediterraneanliving.com,https://www.mediterraneanliving.com/sitemap.xml,https://www.mediterraneanliving.com/recipe-sitemap.xml; https://www.mediterraneanliving.com/post-sitemap.xml; https://www.mediterraneanliving.com/category-sitemap.xml
Mediterranean & Middle Eastern,Tori Avey,https://toriavey.com,https://toriavey.com/sitemap.xml,https://toriavey.com/recipe-sitemap.xml; https://toriavey.com/post-sitemap.xml; https://toriavey.com/category-sitemap.xml
Mediterranean & Middle Eastern,The Hungry Bites,https://www.thehungrybites.com,https://www.thehungrybites.com/sitemap.xml,https://www.thehungrybites.com/recipe-sitemap.xml; https://www.thehungrybites.com/post-sitemap.xml; https://www.thehungrybites.com/category-sitemap.xml
Mediterranean & Middle Eastern,Olive Tomato,https://www.olivetomato.com,https://www.olivetomato.com/sitemap.xml,https://www.olivetomato.com/recipe-sitemap.xml; https://www.olivetomato.com/post-sitemap.xml; https://www.olivetomato.com/category-sitemap.xml
Mediterranean & Middle Eastern,My Greek Dish,https://www.mygreekdish.com,https://www.mygreekdish.com/sitemap.xml,https://www.mygreekdish.com/recipe-sitemap.xml; https://www.mygreekdish.com/post-sitemap.xml; https://www.mygreekdish.com/category-sitemap.xml
Mediterranean & Middle Eastern,Akis Petretzikis,https://akispetretzikis.com,https://akispetretzikis.com/en/recipes/,https://akispetretzikis.com/en/recipes/; https://akispetretzikis.com/recipes/
Mediterranean & Middle Eastern,Downshiftology,https://downshiftology.com,https://downshiftology.com/sitemap.xml,https://downshiftology.com/recipe-sitemap.xml; https://downshiftology.com/post-sitemap.xml; https://downshiftology.com/category-sitemap.xml
